,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,staid,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName,datetime,ValueAndUnits,agency_cd,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
0,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Temperature, water",,8.7,deg C,,Accepted,,Actual,,,,,,,p00010,,,,,,THM01,USGS,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,2020-05-18 17:50:00,8.7 deg C,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
28,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Chloride,Dissolved,3.66,mg/l,,Accepted,,Actual,,,,,,,p00940,,,,,,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-06-03,,Detection limit by DQCALC,0.02,mg/l,,NWIS,2020-05-18 17:50:00,3.66 mg/l,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
29,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Sulfate,Dissolved,9.49,mg/l,,Accepted,,Actual,,,,,,,p00945,,,,,,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-06-03,,Detection limit by DQCALC,0.02,mg/l,,NWIS,2020-05-18 17:50:00,9.49 mg/l,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
30,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Fluoride,Dissolved,0.42,mg/l,,Accepted,,Actual,,,,,,,p00950,,,,,,IC003,USGS,"Fluoride, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-06-03,,Detection limit by DQCALC,0.01,mg/l,,NWIS,2020-05-18 17:50:00,0.42 mg/l,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
31,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Silica,Dissolved,17.7,mg/l,,Accepted,,Actual,,,,,,,p00955,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,0.05,mg/l,,NWIS,2020-05-18 17:50:00,17.7 mg/l,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
32,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,Iron,Dissolved,,,,Accepted,,Actual,,,,,,,p01046,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,10.0,ug/l,,NWIS,2020-05-18 17:50:00,No Value,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
33,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,Manganese,Dissolved,,,,Accepted,,Actual,,,,,,,p01056,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,Detection limit by DQCALC,0.2,ug/l,,NWIS,2020-05-18 17:50:00,No Value,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
34,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Depth, from ground surface to well water level",,13.4,m,,Accepted,,Actual,,,,,,,p30210,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,2020-05-18 17:50:00,13.4 m,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
35,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Alkalinity,Dissolved,118.0,mg/l CaCO3,,Accepted,,Actual,,,,,,,p39086,,,,,,TT061,USGS,"Alkalinity, IPT, Hach",USGS National Field Manual,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,2020-05-18 17:50:00,118.0 mg/l CaCO3,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
36,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,Not Detected,5-Tolyltriazole,Recoverable,,,,Accepted,,Actual,,,,,,,p61944,,,,,,,,,,"State Laboratory of Hygiene, Wisconsin",2020-11-16,,Lower limit of detection,0.25,ug/l,2020-11-16,NWIS,2020-05-18 17:50:00,No Value,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
