staid,usgs_local_num,station_nm,region
481706106002101,29N44E09ACDC01,Well-3,SW
481622105572601,29N44E14ADAB01,Well-4,SW
481556105555901,29N45E18CCBB01,Well-8,SW
481957105531701,30N45E28BBDB01,Well-27,SW
482511106121401,31N42E25ABCB01,Well-48,SW
482634105565601,31N44E13CABA01,Well-58,SW
482653105501001,31N45E14ABCB01,Well-69,SW
482700105511501,31N45E15ABAA01,Well-70,SW
482657105555701,31N45E18BBBD01,Well-74,SW
482437105492201,31N45E25CCAB01,Well-75,SW
482419105533001,31N45E32AAAD01,Well-76,SW
483327106011001,32N44E04CBBD01,Well-114,NW
483620106271501,33N40E23BBAC01,Well-127,NW
483621106271601,33N40E23BBDA01,Well-128,NW
483527106291201,33N40E28ABAC01,Well-129,NW
483552106224501,33N41E20DBBD01,Well-134,NW
483416106141701,33N42E33BCCC01,Well-138,NW
483434106095101,33N42E36BAAC01,Well-140,NW
483512106011501,33N43E25ADAD01,Well-145,NW
483807105565701,33N44E10BABB01,Well-146,NW
483620105571601,33N44E22BBBC01,Well-147,NW
483443105543901,33N44E25CCCC02,Well-150,NW
483531106003201,33N44E30ABBB01,Well-151,NW
483435105512101,33N45E32ABBD01,Well-155,NW
483435105511901,33N45E32ABBD02,Well-156,NW
481701105430901,29N46E10DAAB01,Well-12,SE
481700105430901,29N46E10DAAC01,Well-13,SE
481841105402101,30N47E31BCBC02,Well-40,SE
481844105305701,30N48E32BCBC01,Well-46,SE
482714105464801,31N46E08CCBA01,Well-83,SE
482723105430101,31N46E11CBBC01,Well-84,SE
482723105430501,31N46E11CBBD01,Well-85,SE
482614105441901,31N46E15CCCB01,Well-88,SE
482626105442102,31N46E16DADA02,Well-90,SE
482743105385201,31N47E06DDDD01,Well-96,SE
482743105385202,31N47E06DDDD02,Well-97,SE
482645105334301,31N47E14AAAC01,Well-98,SE
482635105371801,31N47E16BCAA01,Well-99,SE
482444105264901,31N48E26BCDA01,Well-105,SE
482634105371601,31N47E16BCAA02,Well-100,SE
482755105050301,31N51E04DDAB01,Well-112,NE
483533105151001,33N49E24CCDC01,Well-159,NE
483425105060801,33N51E31BCBA01,Well-315,NE
482831105045801,31N51E04AAAD01,Well-111,NE
481825106153801,30N42E33DDDD01,Well-19,SW
482214106010301,30N44E09CBAB01,Well-20,SW
482044106014901,30N44E20ACBA01,Well-21,SW
482040105595501,30N44E22BCBC01,Well-22,SW
482655105592401,31N44E15BADB01,Well-59,SW
482620106011901,31N44E17DDAA01,Well-60,SW
482553106020601,31N44E20BDBD01,Well-61,SW
482515106000701,31N44E28AAAC01,Well-65,SW
482342105584701,31N44E34DDAD01,Well-316,SW
482336105584401,31N44E34DDDD01,Well-317,SW
482415106022401,31N44E32BBDC01,Well-321,SW
481814105595201,29N44E03BBCA01,Well-2,SW
482614105594701,31N44E15CCDB01,Well-New,SW
482624106012001,31N44E17DADD01,Well-310,SW
482612106014401,31N44E17DCDC01,Well-311,SW
