,OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,staid,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName,agency_cd,station_nm,site_tp_cd,lat_va,long_va,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,instruments_cd,construction_dt,inventory_dt,drain_area_va,contrib_drain_area_va,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no
0,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Barometric pressure,,597.0,mm/Hg,,Accepted,,Actual,,,,,,,25,,,,,,BAROM,USGS,"Atmospheric pressure, barometer",USGS National Field Manual,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
1,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Temperature, water",,8.7,deg C,,Accepted,,Actual,,,,,,,10,,,,,,THM01,USGS,"Temperature, water, thermistor","USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
2,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Temperature, air, deg C",,21.5,deg C,,Accepted,,Actual,,,,,,,20,,,,,,THM05,USGS,"Temperature, air, liq-in-glass","USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
3,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Flow rate, instantaneous",,0.3,gal/min,,Accepted,,Actual,,,,,,,59,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
4,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Specific conductance,Total,252.0,uS/cm @25C,,Accepted,,Actual,,,25 deg C,,,,95,,,,,,SC001,USGS,Specific conductance sensor,"USGS National Field Manual, Chapter A6.3",U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
5,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,"Acidity, (H+)",Total,2e-05,mg/l,,Accepted,,Actual,,,,,,,191,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
6,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Oxygen,Dissolved,7.7,mg/l,,Accepted,,Actual,,,,,,,300,,,,,,LUMIN,USGS,"Diss oxygen, luminescence sensor",ASTM,U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
7,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,Oxygen,Dissolved,84.0,% saturatn,,Accepted,,Actual,,,,,,,301,,,,,,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
8,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,pH,Total,7.8,std units,,Accepted,,Actual,,,,,,,400,,,,,,PROBE,USGS,"pH, field, electrometric","USGS National Field Manual, Chapter A6.4",U.S. Geological Survey-Water Resources Discipline,,,,,,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
9,USGS-WY,USGS Wyoming Water Science Center,nwiswy.01.02000227,Sample-Routine,Water,Groundwater,2020-05-18,17:50:00,MDT,,,,50.0,feet,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-433615110440001,,,"Stable, normal stage",Not applicable,4047,USGS parameter code 82398,Submersible gear pump,Submersible gear pump,,pH,Total,8.4,std units,,Accepted,,Actual,,,,,,,403,,,,,,EL006,USGS,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363","USGS-National Water Quality Lab, Denver, CO",2020-05-28,,Lower Reporting Limit,0.1,std units,,NWIS,USGS,42-116-14acc01 JH-1,GW,433614.8,1104359.56,43.6040424,-110.7339749,G,R,NAD27,NAD83,56,56,39,US,SWSWNES14 T42N  R116W 6,GROS VENTRE JUNCTION,24000,6422.46,L,0.5,NAVD88,17040101,,T,YNNNYNNNNNNNNNNNYNNNNNNNNNNNNN,20080731.0,20080916,,,MST,Y,C,YY   Y,N100ALLUVL,111TRRC,U,60.36,60.36,D,8664DEF00
