staid,usgs_local_num,station_nm,region,dec_lat_va,dec_long_va
USGS-481706106002101,29N44E09ACDC01,Well-3,SW,48.2850217,-106.0064047
USGS-481622105572601,29N44E14ADAB01,Well-4,SW,48.27279919,-105.9577916
USGS-481556105555901,29N45E18CCBB01,Well-8,SW,48.2655768,-105.9336239
USGS-481957105531701,30N45E28BBDB01,Well-27,SW,48.332522,-105.8886218
USGS-482511106121401,31N42E25ABCB01,Well-48,SW,48.41974659,-106.2044671
USGS-482634105565601,31N44E13CABA01,Well-58,SW,48.4428015,-105.9494574
USGS-482653105501001,31N45E14ABCB01,Well-69,SW,48.44807889,-105.836675
USGS-482700105511501,31N45E15ABAA01,Well-70,SW,48.4500234,-105.8547314
USGS-482657105555701,31N45E18BBBD01,Well-74,SW,48.4491904,-105.9330679
USGS-482437105492201,31N45E25CCAB01,Well-75,SW,48.41030057,-105.8233412
USGS-482419105533001,31N45E32AAAD01,Well-76,SW,48.40530077,-105.892233
USGS-483327106011001,32N44E04CBBD01,Well-114,NW,48.55752517,-106.0200157
USGS-483620106271501,33N40E23BBAC01,Well-127,NW,48.60558086,-106.4547546
USGS-483621106271601,33N40E23BBDA01,Well-128,NW,48.6058586,-106.4550324
USGS-483527106291201,33N40E28ABAC01,Well-129,NW,48.59085857,-106.487256
USGS-483552106224501,33N41E20DBBD01,Well-134,NW,48.5978032,-106.3797515
USGS-483416106141701,33N42E33BCCC01,Well-138,NW,48.57113679,-106.2386345
USGS-483434106095101,33N42E36BAAC01,Well-140,NW,48.57613666,-106.164743
USGS-483512106011501,33N43E25ADAD01,Well-145,NW,48.586692,-106.0214048
USGS-483807105565701,33N44E10BABB01,Well-146,NW,48.6353031,-105.9497356
USGS-483620105571601,33N44E22BBBC01,Well-147,NW,48.6055807,-105.9550135
USGS-483443105543901,33N44E25CCCC02,Well-150,NW,48.5786359,-105.9114006
USGS-483531106003201,33N44E30ABBB01,Well-151,NW,48.59196979,-106.0094599
USGS-483435105512101,33N45E32ABBD01,Well-155,NW,48.57641339,-105.8563984
USGS-483435105511901,33N45E32ABBD02,Well-156,NW,48.57641339,-105.8558428
USGS-481701105430901,29N46E10DAAB01,Well-12,SE,48.283632,-105.7197259
USGS-481700105430901,29N46E10DAAC01,Well-13,SE,48.2833542,-105.7197259
USGS-481841105402101,30N47E31BCBC02,Well-40,SE,48.31141,-105.6730575
USGS-481844105305701,30N48E32BCBC01,Well-46,SE,48.3122431,-105.516385
USGS-482714105464801,31N46E08CCBA01,Well-83,SE,48.45391205,-105.7805617
USGS-482723105430101,31N46E11CBBC01,Well-84,SE,48.45641186,-105.7175037
USGS-482723105430501,31N46E11CBBD01,Well-85,SE,48.45641186,-105.7161147
USGS-482614105441901,31N46E15CCCB01,Well-88,SE,48.437245,-105.7391712
USGS-482626105442102,31N46E16DADA02,Well-90,SE,48.4405784,-105.7397267
USGS-482743105385201,31N47E06DDDD01,Well-96,SE,48.46196729,-105.6483343
USGS-482743105385202,31N47E06DDDD02,Well-97,SE,48.46196729,-105.6483343
USGS-482645105334301,31N47E14AAAC01,Well-98,SE,48.44585576,-105.5624977
USGS-482635105371801,31N47E16BCAA01,Well-99,SE,48.4430781,-105.6222222
USGS-482444105264901,31N48E26BCDA01,Well-105,SE,48.41224399,-105.447493
USGS-482634105371601,31N47E16BCAA02,Well-100,SE,48.4428003,-105.6216666
USGS-482755105050301,31N51E04DDAB01,Well-112,NE,48.4653001,-105.0846997
USGS-483533105151001,33N49E24CCDC01,Well-159,NE,48.59252325,-105.2533187
USGS-483425105060801,33N51E31BCBA01,Well-315,NE,48.5736361,-105.102375
USGS-482831105045801,31N51E04AAAD01,Well-111,NE,48.4753002,-105.0833108
USGS-481825106153801,30N42E33DDDD01,Well-19,SW,48.3069675,-106.2611365
USGS-482214106010301,30N44E09CBAB01,Well-20,SW,48.37057855,-106.0180715
USGS-482044106014901,30N44E20ACBA01,Well-21,SW,48.3455782,-106.0308499
USGS-482040105595501,30N44E22BCBC01,Well-22,SW,48.34446699,-105.999182
USGS-482655105592401,31N44E15BADB01,Well-59,SW,48.4486351,-105.9905702
USGS-482620106011901,31N44E17DDAA01,Well-60,SW,48.43891287,-106.0225159
USGS-482553106020601,31N44E20BDBD01,Well-61,SW,48.4314128,-106.035572
USGS-482515106000701,31N44E28AAAC01,Well-65,SW,48.42085698,-106.0025152
USGS-482342105584701,31N44E34DDAD01,Well-316,SW,48.39511389,-105.9796083
USGS-482336105584401,31N44E34DDDD01,Well-317,SW,48.39341389,-105.979025
USGS-482415106022401,31N44E32BBDC01,Well-321,SW,48.4041,-106.0400972
USGS-481814105595201,29N44E03BBCA01,Well-2,SW,48.30391085,-105.9983488
USGS-482614105594701,31N44E15CCDB01,Well-New,SW,48.43741667,-105.9963611
USGS-482624106012001,31N44E17DADD01,Well-310,SW,48.44,-106.0222222
USGS-482612106014401,31N44E17DCDC01,Well-311,SW,48.43666667,-106.0288889
