staid,station_id_num,dec_lat_va,dec_long_va
JH-1,USGS-433615110440001,43.6040424,-110.7339749
JH-1.5,USGS-433604110443401,43.60116667,-110.7426389
JH-1.5D,USGS-433604110443402,43.60116667,-110.7426389
JH-1.5R,USGS-433604110443403,43.60118056,-110.7426611
JH-2,USGS-433551110443501,43.5974143,-110.7437613
JH-2.5,USGS-433600110443701,43.59994444,-110.74375
JH-3,USGS-433603110443501,43.60073657,-110.7437391
JH-3.5,USGS-433605110443801,43.60138056,-110.7437694
JH-3D,USGS-433603110443502,43.60073657,-110.7437391
JH-4,USGS-433613110443501,43.60346716,-110.7438059
JH-DI1,USGS-433641110441501,43.6118333,-110.7372222
H1,USGS-433607110440901,43.60177845,-110.7366528
H2,USGS-433605110441201,43.60137009,-110.7373639
H3,USGS-433602110441201,43.60055897,-110.737361
H4 MW,USGS-433556110441501,43.5990117,-110.7382055
H5,USGS-433556110441601,43.5988728,-110.7385444
AG,USGS-433558110441501,43.5993256,-110.738175
SSFF,USGS-433604110441001,43.60093399,-110.7368916
AE,USGS-433606110440501,43.60156736,-110.7355388
CT,USGS-433630110442701,43.60818117,-110.7416726
